location,subplot,x,y,family,genus,species,max_diam,ba_m2,combined_diam,easting,northing,zone,AI_annual_min,AI_annual_mean,AI_annual_max,precip_annual_total,precip_annual_min,precip_annual_max,precip_season_SW,precip_season_SA,log_lamina_sla,log_lamina_area,lamina_ldmc,tlp,wd,log_t_b,sqrt_mh,leaf_area_cm2,max_height_m
high,1,10.9,21.2,Sapindaceae,Diploglottis,Diploglottis australis,4.010704565915763,0.0012633719382634653,4.010704565915763,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,1.9590698390273003,9.035258301376947,0.5011859217132896,NA,0.5237437917771388,-2.3225964319402737,5.916079783099616,83.93881288555193,35
high,1,11.8,8.2,Cardiopteridaceae,Citronella,Citronella moorei,30.175777210223355,0.07151659198822935,30.17577721022336,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.6366861290522423,8.12558642387461,0.3474095060011222,-1.86867,0.5622281020079611,-1.87882412760305,7.0710678118654755,33.79849375000001,50.00000000000001
high,1,11.9,7.2,Symplocaceae,Symplocos,Symplocos thwaitesii,3.947042588679005,0.0012235832024904915,3.947042588679005,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,NA,NA,NA,NA,NA,NA,NA,NA,NA
high,1,12.1,1.3,Sapindaceae,Elattostachys,Elattostachys xylocarpa,35.01408748021697,0.09628874057059665,35.01408748021697,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.1734438326354883,6.42461046130754,0.5325711845057162,-2.1657375,0.7622785017299635,-2.1867553593056024,5,6.1684048749999985,25
high,1,12.7,7.8,Cardiopteridaceae,Citronella,Citronella moorei,14.610423775835992,0.0167654612827718,14.610423775835994,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.6366861290522423,8.12558642387461,0.3474095060011222,-1.86867,0.5622281020079611,-1.87882412760305,7.0710678118654755,33.79849375000001,50.00000000000001
high,1,13,4.5,Lauraceae,Cryptocarya,Cryptocarya obovata,7.16197243913529,0.0040286094970136,7.16197243913529,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.152160028940687,8.685838739798184,0.4396717555257599,-2.0059649999999998,0.5444562999153831,-1.7169463015410182,6.324555320336759,59.18502499999997,40.00000000000001
high,1,13,24.3,Sapindaceae,Guioa,Guioa semiglauca,8.2123950635418,0.005296994815984461,8.2123950635418,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.171341675243476,6.6873694840598,0.532426665005795,NA,0.6414383663412685,-1.995091600784307,4.242640687119285,8.022092499999998,17.999999999999996
high,1,13.2,21.6,Sapindaceae,Guioa,Guioa semiglauca,5.347606087887684,0.0022459945569128273,5.347606087887684,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.171341675243476,6.6873694840598,0.532426665005795,NA,0.6414383663412685,-1.995091600784307,4.242640687119285,8.022092499999998,17.999999999999996
high,1,13.3,5.8,Malvaceae,Argyrodendron,Argyrodendron trifoliolatum,23.650424543455646,0.04393066358946885,23.650424543455646,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.1224803317667025,7.366276182568228,0.5380170974403184,-2.406672,0.735,-1.9631134886557116,6.708203932499369,15.817327187500007,45.00000000000001
high,1,13.8,10.1,Pittosporaceae,Pittosporum,Pittosporum undulatum,26.865354393911936,0.05668589777115418,26.865354393911932,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.29491642445795,7.301697165726484,0.42207307045094367,-1.950075,0.6735804962471003,-1.8752786587133417,5,14.828143750000006,25
high,1,14.1,0.6,Moraceae,Streblus,Streblus brunonianus,28.07493196141034,0.061905224974909794,28.07493196141034,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.727343808317383,6.418668723393349,0.40844901284105906,-1.980855,0.6483916252974833,-1.5820903649465572,5.477225575051661,6.1318624999999995,30
high,1,14.8,7.5,Cardiopteridaceae,Citronella,Citronella moorei,67.64085081405553,0.3593420199496701,67.64085081405553,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.6366861290522423,8.12558642387461,0.3474095060011222,-1.86867,0.5622281020079611,-1.87882412760305,7.0710678118654755,33.79849375000001,50.00000000000001
